2078374,32,27,5,0,0,4.293764,39,36,28,27,17,15,22,1,2,5,2,2,1,0.89,0.04,0.00
1756384,32,22,7,0,0,3.281137,24,44,11,21,34,14,12,1,2,1,1,1,3,0.83,0.04,0.00
352076,32,29,3,1,0,4.079555,34,42,9,29,34,12,12,3,7,2,2,3,1,0.83,0.04,0.00
500998,32,29,16,0,0,3.226378,35,32,15,26,14,12,22,4,3,1,1,2,1,0.82,0.04,0.00
2943199,32,29,3,0,0,2.461616,27,31,26,24,23,14,22,3,6,1,2,1,1,0.91,0.03,0.00
3814987,32,24,4,0,0,4.901373,47,31,17,33,15,14,20,4,9,4,2,2,1,0.98,0.04,0.00
4977476,32,29,2,1,0,4.469038,23,42,13,22,28,14,12,1,4,1,1,2,1,0.82,0.04,0.00
3914371,32,29,3,0,0,3.164972,30,32,22,26,19,15,20,3,4,4,1,1,1,0.94,0.04,0.00
6039835,32,21,2,1,0,4.671342,25,26,6,20,20,11,12,5,4,2,1,2,2,0.92,0.04,0.00
5535349,32,29,4,1,0,4.995810,39,45,25,24,22,17,22,3,1,2,1,1,1,0.79,0.15,0.00
3642635,32,28,2,1,0,4.551468,54,33,13,25,12,13,18,11,11,2,4,13,1,0.92,0.04,0.00
5535349,32,29,4,1,0,4.995810,39,45,25,24,22,17,22,3,1,2,1,1,1,0.79,0.15,0.00
4743869,32,29,9,0,0,3.510578,41,41,16,29,18,13,22,12,9,9,2,5,1,0.85,0.04,0.00
5298686,32,29,2,1,0,4.058720,35,42,17,29,28,12,22,1,1,4,1,2,1,0.89,0.03,0.00
15671823,32,29,5,1,0,2.498100,31,36,21,21,20,14,22,5,3,1,1,2,1,0.82,0.04,0.00
16464272,32,29,3,1,1,4.287231,41,40,22,22,21,15,22,1,1,7,1,2,2,0.84,0.04,0.00
15528171,32,29,6,0,0,4.970936,39,36,28,27,17,15,22,10,3,1,1,2,1,0.99,0.04,0.00
15285759,32,29,2,1,0,4.270280,42,43,14,28,24,13,22,2,5,2,3,1,1,0.92,0.04,0.00
18473125,32,29,5,0,0,4.259615,28,30,32,18,23,14,22,2,3,1,2,1,1,0.82,0.04,0.00
18008265,32,26,7,1,0,4.454550,39,33,14,22,14,12,22,3,5,2,1,2,2,0.88,0.04,0.00
17822884,32,27,5,0,0,4.031925,31,31,24,19,27,16,22,1,2,1,1,4,1,0.86,0.04,0.00
19185248,32,29,6,1,0,2.895856,34,42,5,24,21,12,12,2,7,3,1,4,1,0.82,0.04,0.00
21750388,32,29,5,1,0,4.852544,48,33,20,26,20,12,18,8,1,1,1,1,1,0.86,0.03,0.00
19723600,32,26,5,0,0,4.515715,37,40,24,27,17,13,22,3,2,6,1,1,1,0.79,0.15,0.00
21542372,32,29,4,1,0,3.875555,40,40,14,22,27,15,12,8,9,1,3,1,1,0.82,0.04,0.00
21470310,32,29,5,1,0,4.982415,34,42,9,29,34,12,12,2,14,2,10,2,1,0.73,0.16,0.00
22024640,32,27,3,1,0,4.448027,39,36,21,33,18,15,22,3,3,2,2,2,1,0.89,0.04,0.00
23057393,32,29,11,1,0,4.777130,39,46,19,31,19,15,22,1,2,3,1,1,1,0.87,0.04,0.00
25904353,32,29,4,1,0,4.958289,26,28,27,24,21,16,22,12,2,16,1,3,1,0.81,0.15,0.00
28365846,32,28,5,1,0,3.625909,34,42,5,24,21,12,12,2,2,1,3,3,1,0.95,0.04,0.00
27908887,32,29,12,1,0,3.913684,39,33,14,22,14,12,22,12,3,4,1,1,1,1.75,0.07,0.00
28718583,32,29,3,1,0,4.220674,39,40,27,19,27,15,22,10,1,1,1,3,1,0.76,0.15,0.00
28206273,32,26,4,0,1,4.262213,50,40,17,26,15,16,22,1,7,1,4,12,1,0.85,0.14,0.00
31083100,32,29,7,1,0,4.812204,37,40,16,30,26,11,18,5,3,4,1,1,1,0.92,0.03,0.00
32749797,32,25,4,1,0,3.735085,28,25,25,25,24,12,20,4,3,1,2,1,1,0.71,0.13,0.00
30243672,32,29,4,1,0,4.760215,41,41,16,29,18,13,22,1,5,1,1,2,1,0.95,0.04,0.00
33557748,32,29,2,1,1,4.797081,35,42,17,29,28,12,22,2,1,1,2,3,2,0.94,0.04,0.00
35975033,32,29,12,0,0,4.252000,46,32,16,33,14,12,18,8,12,3,1,1,2,0.91,0.04,0.00
36295118,32,29,4,0,0,4.045424,37,40,12,25,13,11,18,1,1,1,1,2,1,0.71,0.14,0.00
36612316,32,28,8,0,0,3.891499,41,40,22,22,21,15,22,6,11,3,2,1,1,0.81,0.04,0.00
8170014,32,29,11,1,0,4.448712,42,39,23,25,30,15,22,2,2,1,2,1,1,0.71,0.14,0.00
8432580,32,29,8,0,0,4.623986,40,41,8,29,24,13,12,4,6,2,1,8,1,0.92,0.04,0.00
8515149,32,29,11,0,0,4.029019,38,41,13,26,30,13,12,2,1,3,1,1,1,0.94,0.04,0.00
8432580,32,29,8,0,0,4.623986,40,41,8,29,24,13,12,4,6,2,1,8,1,0.92,0.04,0.00
8060551,32,29,8,1,0,4.852895,24,20,25,17,17,15,22,8,1,1,3,1,1,1.26,0.04,0.60
12269214,32,28,3,0,0,3.248521,47,34,7,28,20,14,12,2,2,2,3,12,1,0.75,0.14,0.00
12688223,32,29,5,0,0,4.657463,35,41,23,22,31,14,22,3,8,6,1,1,1,0.89,0.04,0.00
12092742,32,29,5,0,0,4.822339,46,32,16,34,15,11,14,6,7,1,1,3,1,0.77,0.15,0.00
15083423,32,29,12,1,0,3.236669,40,40,14,22,27,15,12,1,4,11,1,2,1,0.89,0.03,0.00
72134097,32,29,5,0,0,4.507355,39,41,28,20,23,13,22,5,4,2,1,1,2,0.85,0.04,0.00
72356446,32,29,3,1,0,3.596866,36,40,16,27,23,13,12,1,11,1,1,2,1,0.92,0.04,0.00
72786306,32,29,3,0,0,3.377059,37,40,17,33,18,13,22,6,7,1,1,1,1,0.85,0.03,0.00
73362337,32,29,3,0,0,3.899345,37,37,27,22,31,16,22,1,2,3,1,2,1,0.93,0.04,0.00
73410786,32,29,3,0,0,3.531928,38,33,6,22,20,12,12,7,4,5,1,1,1,0.82,0.04,0.00
73228782,32,29,3,1,0,4.628550,39,36,21,33,18,15,22,1,1,5,1,3,1,0.86,0.15,0.00
74117368,32,27,4,0,0,4.720007,27,36,19,23,30,12,22,5,2,1,1,3,1,0.89,0.04,0.00
80096114,32,23,4,0,0,3.725203,39,48,14,32,17,12,18,3,2,1,1,2,2,0.74,0.15,0.00
93651592,32,29,7,1,0,4.762272,43,37,27,23,17,15,22,3,1,2,1,2,1,0.94,0.04,0.00
94998662,32,29,6,0,0,4.245352,42,44,20,27,23,13,22,8,2,2,1,1,2,0.91,0.04,0.00
95038894,32,29,2,1,0,4.019914,24,32,29,15,28,12,18,1,2,6,1,1,1,0.78,0.16,0.00
95417220,32,29,4,1,0,4.720673,40,37,24,28,16,14,20,3,3,6,1,1,1,0.91,0.03,0.00
96764145,32,29,3,0,0,3.441828,46,32,16,34,15,11,14,3,4,2,3,2,1,0.94,0.04,0.00
96370374,32,22,5,1,1,4.187309,38,33,6,22,20,12,12,3,8,2,2,2,2,1.81,0.07,0.00
95900966,32,29,3,0,0,4.437151,37,38,21,29,28,14,22,1,1,2,1,3,1,0.85,0.04,0.00
95722614,32,27,10,0,0,4.389834,39,47,20,25,20,14,18,1,5,1,1,1,1,0.72,0.15,0.00
97502258,32,29,9,0,0,4.309398,47,34,7,28,20,14,12,3,1,1,3,12,2,0.88,0.03,0.00
99834216,32,23,6,1,0,4.381640,46,30,21,32,16,15,22,15,1,4,1,1,1,0.93,0.04,0.00
37208419,32,29,8,0,0,4.204044,44,42,19,28,21,12,18,4,3,1,1,1,1,0.85,0.03,0.00
37835817,32,29,2,0,0,4.210132,43,37,27,23,17,15,22,10,4,3,1,6,1,0.87,0.04,0.00
43095068,32,29,8,1,0,4.888237,46,40,19,30,17,15,22,3,4,2,1,4,1,0.95,0.04,0.00
42762273,32,29,10,0,0,4.639405,41,40,22,22,21,15,22,12,1,6,2,4,1,0.81,0.16,0.00
